date,RSSI
2020-07-08 23:04:39.890882,73
2020-07-08 23:04:41.008862,73
2020-07-08 23:04:42.129867,73
2020-07-08 23:04:43.249895,73
2020-07-08 23:04:44.368903,72
2020-07-08 23:04:45.487863,73
2020-07-08 23:04:46.608904,73
2020-07-08 23:04:47.727923,72
2020-07-08 23:04:48.847923,72
2020-07-08 23:04:49.966904,73
2020-07-08 23:04:51.085861,73
2020-07-08 23:04:52.205860,73
2020-07-08 23:04:53.326879,73
2020-07-08 23:04:54.445865,73
2020-07-08 23:04:55.547958,73
2020-07-08 23:04:56.668864,73
2020-07-08 23:04:57.787906,73
2020-07-08 23:04:58.906882,73
2020-07-08 23:05:00.026860,73
2020-07-08 23:05:01.146915,73
2020-07-08 23:05:02.266867,73
2020-07-08 23:05:03.386870,72
2020-07-08 23:05:04.505872,72
2020-07-08 23:05:05.624896,73
2020-07-08 23:05:06.744914,72
2020-07-08 23:05:07.847865,73
2020-07-08 23:05:08.967864,72
2020-07-08 23:05:10.086870,73
2020-07-08 23:05:11.206867,73
2020-07-08 23:05:12.326911,77
2020-07-08 23:05:13.446917,73
2020-07-08 23:05:14.565900,73
2020-07-08 23:05:15.685867,73
2020-07-08 23:05:16.805872,73
2020-07-08 23:05:17.924872,73
2020-07-08 23:05:19.044909,73
2020-07-08 23:05:20.164867,73
2020-07-08 23:05:21.283878,73
2020-07-08 23:05:22.402865,73
2020-07-08 23:05:23.522976,73
2020-07-08 23:05:24.641933,73
2020-07-08 23:05:25.745932,74
2020-07-08 23:05:26.866734,73
2020-07-08 23:05:28.000682,73
2020-07-08 23:05:29.104685,73
2020-07-08 23:05:30.240685,73
2020-07-08 23:05:31.343688,73
2020-07-08 23:05:32.463728,73
2020-07-08 23:05:33.583743,73
2020-07-08 23:05:34.702723,73
2020-07-08 23:05:35.823689,73
2020-07-08 23:05:36.957687,73
2020-07-08 23:05:38.061681,73
2020-07-08 23:05:39.181684,73
2020-07-08 23:05:40.317688,73
2020-07-08 23:05:41.436683,73
2020-07-08 23:05:42.555681,73
2020-07-08 23:05:43.675680,73
2020-07-08 23:05:44.795688,73
2020-07-08 23:05:45.914683,73
2020-07-08 23:05:47.034689,73
2020-07-08 23:05:48.153682,73
2020-07-08 23:05:49.273683,73
2020-07-08 23:05:50.393683,73
2020-07-08 23:05:51.512685,73
2020-07-08 23:05:52.633751,73
2020-07-08 23:05:53.752729,73
2020-07-08 23:05:54.856684,73
2020-07-08 23:05:55.975686,73
2020-07-08 23:05:57.110686,73
2020-07-08 23:05:58.230717,73
2020-07-08 23:05:59.349749,74
2020-07-08 23:06:00.470695,74
2020-07-08 23:06:01.589685,74
2020-07-08 23:06:02.708684,73
2020-07-08 23:06:03.828723,73
2020-07-08 23:06:04.949507,74
2020-07-08 23:06:06.068506,74
2020-07-08 23:06:07.188556,74
2020-07-08 23:06:08.306557,74
2020-07-08 23:06:09.442535,74
2020-07-08 23:06:10.545561,74
2020-07-08 23:06:11.666546,74
2020-07-08 23:06:12.785501,74
2020-07-08 23:06:13.905504,74
2020-07-08 23:06:15.024499,74
2020-07-08 23:06:16.145562,74
2020-07-08 23:06:17.264566,74
2020-07-08 23:06:18.384506,74
2020-07-08 23:06:19.503269,74
2020-07-08 23:06:20.639237,74
